Date,Watch time (hours)
2020-01-01 00:00:00,6297.4
2020-01-01 00:05:00,6922.53
2020-01-01 00:10:00,12076.37
2020-01-01 00:15:00,7852.43
2020-01-01 00:20:00,13756.12
2020-01-01 00:25:00,6107.15
2020-01-01 00:30:00,5671.56
2020-01-01 00:35:00,4576.92
2020-01-01 00:40:00,7444.09
2020-01-01 00:45:00,9216.1
2020-01-01 00:50:00,17331.21
2020-01-01 00:55:00,15710.97
2020-01-01 01:00:00,7798.39
2020-01-01 01:05:00,5781.94
2020-01-01 01:10:00,6399.37
2020-01-01 01:15:00,10388.68
2020-01-01 01:20:00,8666.99
2020-01-01 01:25:00,6534.01
2020-01-01 01:30:00,12166.2
2020-01-01 01:35:00,4870.21
2020-01-01 01:40:00,3539.19
2020-01-01 01:45:00,3368.08
2020-01-01 01:50:00,10964.9
2020-01-01 01:55:00,6219.78
2020-01-01 02:00:00,4551.75
2020-01-01 02:05:00,3985.36
2020-01-01 02:10:00,12482.98
2020-01-01 02:15:00,5140.74
2020-01-01 02:20:00,4943.1
2020-01-01 02:25:00,10586.53
2020-01-01 02:30:00,3741.42
2020-01-01 02:35:00,8253.31
2020-01-01 02:40:00,6820.34
2020-01-01 02:45:00,6276.13
2020-01-01 02:50:00,9073.82
2020-01-01 02:55:00,5170.0
2020-01-01 03:00:00,5075.68
2020-01-01 03:05:00,8164.33
2020-01-01 03:10:00,10452.75
2020-01-01 03:15:00,17566.15
2020-01-01 03:20:00,8159.61
2020-01-01 03:25:00,18832.76
2020-01-01 03:30:00,9204.7
2020-01-01 03:35:00,14927.47
2020-01-01 03:40:00,7942.02
2020-01-01 03:45:00,4695.85
2020-01-01 03:50:00,7158.12
2020-01-01 03:55:00,12587.17
2020-01-01 04:00:00,6509.61
2020-01-01 04:05:00,5971.6
2020-01-01 04:10:00,11065.18
2020-01-01 04:15:00,7383.26
2020-01-01 04:20:00,7328.42
2020-01-01 04:25:00,13060.2
2020-01-01 04:30:00,3349.18
2020-01-01 04:35:00,6619.52
2020-01-01 04:40:00,10453.42
